airline,On Time - Los Angeles,On Time - Phonix,On Time - San Diego,On Time - San Francisco,On Time - Seattle,Delayed - Los Angeles,Delayed - Phonix,Delayed - San Diego,Delayed - San Francisco,Delayed - Seattle
ALASKA,497,221,212,503,1841,62,12,20,102,305
AM WEST,694,4840,383,320,201,117,415,65,129,61
